sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,paint3d,goatex,mvadapter,TEXGen,syncmvd,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_2,_corrupt_3,_corrupt_4,_corrupt_0,_corrupt_1,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,goatex,paint3d,mvadapter,TEXGen,syncmvd,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,2
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_2,_corrupt_3,_corrupt_1,_corrupt_0,_corrupt_4,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,3
45_1a6d42ef69294498937aab039ececb00,main,mvadapter,TEXGen,spotex,goatex,paint3d,syncmvd,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,4
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,TEXGen,syncmvd,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,5
58_1d7b005b0cf241d9890739a549769c86,main,spotex,TEXGen,syncmvd,goatex,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_2,_corrupt_1,_corrupt_3,_corrupt_4,_corrupt_0,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,7
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,TEXGen,syncmvd,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,8
45_1a6d42ef69294498937aab039ececb00,main,mvadapter,syncmvd,TEXGen,spotex,paint3d,goatex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_3,_corrupt_2,_corrupt_4,_corrupt_0,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,10
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,TEXGen,syncmvd,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,11
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,mvadapter,spotex,goatex,paint3d,syncmvd,TEXGen,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,12
58_1d7b005b0cf241d9890739a549769c86,main,spotex,goatex,TEXGen,syncmvd,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,spotex,syncmvd,TEXGen,goatex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,14
48_d53b232eab0048b48835c2caef28f44e,main,mvadapter,spotex,paint3d,TEXGen,syncmvd,goatex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,15
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,paint3d,mvadapter,syncmvd,TEXGen,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,16
06_ce195c7adddb44d2bf963c526756362a,main,syncmvd,spotex,TEXGen,paint3d,mvadapter,goatex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,paint3d,TEXGen,syncmvd,mvadapter,goatex,spotex,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,18
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,TEXGen,mvadapter,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,19
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_2,_corrupt_3,_corrupt_1,_corrupt_0,_corrupt_4,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,goatex,syncmvd,TEXGen,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,syncmvd,paint3d,spotex,mvadapter,goatex,TEXGen,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,22
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,goatex,TEXGen,syncmvd,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,23
48_d53b232eab0048b48835c2caef28f44e,main,mvadapter,spotex,syncmvd,TEXGen,goatex,paint3d,A3GBDSRO3V260P,H_0001,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,24
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,mvadapter,paint3d,syncmvd,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_4,_corrupt_3,_corrupt_2,_corrupt_1,_corrupt_0,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,goatex,mvadapter,TEXGen,syncmvd,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,2
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,3
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,goatex,syncmvd,TEXGen,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,4
02_16ee83e509e745998f229da44a8387e8,main,spotex,paint3d,goatex,syncmvd,TEXGen,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,5
58_1d7b005b0cf241d9890739a549769c86,main,goatex,syncmvd,TEXGen,paint3d,spotex,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,7
02_16ee83e509e745998f229da44a8387e8,main,spotex,syncmvd,paint3d,goatex,TEXGen,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,8
45_1a6d42ef69294498937aab039ececb00,main,TEXGen,goatex,paint3d,spotex,mvadapter,syncmvd,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,10
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,paint3d,mvadapter,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,11
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,goatex,paint3d,TEXGen,syncmvd,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,12
58_1d7b005b0cf241d9890739a549769c86,main,goatex,TEXGen,syncmvd,spotex,paint3d,mvadapter,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,paint3d,syncmvd,spotex,mvadapter,goatex,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,14
48_d53b232eab0048b48835c2caef28f44e,main,spotex,mvadapter,paint3d,syncmvd,TEXGen,goatex,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,15
01_d85c3093011d4e03a0df7a4049b13816,main,goatex,spotex,mvadapter,paint3d,TEXGen,syncmvd,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,16
06_ce195c7adddb44d2bf963c526756362a,main,spotex,goatex,mvadapter,TEXGen,syncmvd,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,TEXGen,syncmvd,spotex,mvadapter,paint3d,goatex,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,18
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,mvadapter,TEXGen,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,19
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_1,_corrupt_3,_corrupt_4,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,syncmvd,mvadapter,paint3d,goatex,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,paint3d,mvadapter,spotex,goatex,syncmvd,TEXGen,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,22
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,TEXGen,paint3d,mvadapter,goatex,syncmvd,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,23
48_d53b232eab0048b48835c2caef28f44e,main,goatex,TEXGen,spotex,mvadapter,syncmvd,paint3d,A1CGK5GD971DCK,H_0001,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,24
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,syncmvd,TEXGen,mvadapter,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_4,_corrupt_3,_corrupt_2,_corrupt_1,_corrupt_0,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,1
06_ce195c7adddb44d2bf963c526756362a,main,goatex,mvadapter,TEXGen,spotex,syncmvd,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,2
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,3
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,mvadapter,syncmvd,TEXGen,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,4
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,syncmvd,TEXGen,paint3d,mvadapter,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,5
58_1d7b005b0cf241d9890739a549769c86,main,syncmvd,goatex,TEXGen,paint3d,mvadapter,spotex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,7
02_16ee83e509e745998f229da44a8387e8,main,spotex,paint3d,mvadapter,TEXGen,syncmvd,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,8
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,mvadapter,TEXGen,goatex,syncmvd,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,10
02_16ee83e509e745998f229da44a8387e8,main,spotex,paint3d,mvadapter,goatex,syncmvd,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,11
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,TEXGen,syncmvd,goatex,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,12
58_1d7b005b0cf241d9890739a549769c86,main,spotex,TEXGen,syncmvd,paint3d,goatex,mvadapter,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,spotex,goatex,TEXGen,syncmvd,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,14
48_d53b232eab0048b48835c2caef28f44e,main,mvadapter,spotex,syncmvd,TEXGen,goatex,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,15
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,paint3d,goatex,syncmvd,TEXGen,mvadapter,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,16
06_ce195c7adddb44d2bf963c526756362a,main,spotex,goatex,mvadapter,syncmvd,TEXGen,paint3d,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,TEXGen,syncmvd,paint3d,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,18
02_16ee83e509e745998f229da44a8387e8,main,spotex,goatex,paint3d,mvadapter,syncmvd,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,19
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,_corrupt_3,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,paint3d,goatex,syncmvd,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,spotex,paint3d,goatex,syncmvd,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,22
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,TEXGen,syncmvd,mvadapter,paint3d,goatex,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,23
48_d53b232eab0048b48835c2caef28f44e,main,syncmvd,paint3d,goatex,mvadapter,spotex,TEXGen,A2BVK0H0YA09BA,H_0001,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,24
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,paint3d,mvadapter,syncmvd,TEXGen,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_0,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,mvadapter,TEXGen,syncmvd,paint3d,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,2
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_0,_corrupt_3,_corrupt_4,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,3
45_1a6d42ef69294498937aab039ececb00,main,goatex,paint3d,syncmvd,TEXGen,mvadapter,spotex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,4
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,spotex,mvadapter,goatex,TEXGen,paint3d,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,5
58_1d7b005b0cf241d9890739a549769c86,main,goatex,syncmvd,TEXGen,mvadapter,spotex,paint3d,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,7
02_16ee83e509e745998f229da44a8387e8,main,spotex,mvadapter,TEXGen,goatex,syncmvd,paint3d,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,8
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,goatex,TEXGen,mvadapter,syncmvd,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,10
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,paint3d,TEXGen,syncmvd,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,11
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,paint3d,TEXGen,syncmvd,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,12
58_1d7b005b0cf241d9890739a549769c86,main,goatex,paint3d,spotex,TEXGen,mvadapter,syncmvd,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,syncmvd,goatex,TEXGen,spotex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,14
48_d53b232eab0048b48835c2caef28f44e,main,goatex,syncmvd,TEXGen,spotex,paint3d,mvadapter,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,15
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,syncmvd,goatex,paint3d,TEXGen,mvadapter,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,16
06_ce195c7adddb44d2bf963c526756362a,main,spotex,syncmvd,mvadapter,TEXGen,paint3d,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,paint3d,goatex,syncmvd,TEXGen,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,18
02_16ee83e509e745998f229da44a8387e8,main,spotex,mvadapter,syncmvd,goatex,paint3d,TEXGen,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,19
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_3,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,paint3d,goatex,syncmvd,TEXGen,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,syncmvd,spotex,TEXGen,goatex,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,22
35_02797d5feaac4ccabfdf8b357fa2a13a,main,mvadapter,spotex,goatex,syncmvd,paint3d,TEXGen,A3IHDNKFEEXOG7,H_0001,358UUM7WRHZQSC3WDC2Z635IGBLR7G,23
