HITId,RequesterAnnotation,WorkerId,AssignmentId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,Answer.workerId,Answer.hitId,Answer.rank1,Answer.rank2,Answer.rank3,Answer.rank4,Answer.rank5,Answer.rank6,Answer.rank7,Answer.rank8,Answer.rank9,Answer.rank10,Answer.rank11,Answer.rank12,Answer.rank13,Answer.rank14,Answer.rank15,Answer.rank16,Answer.rank17,Answer.rank18,Answer.rank19,Answer.rank20,Answer.rank21,Answer.rank22,Answer.rank23,Answer.rank24,Answer.rank25
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,AS6LB8GAE0RPH,3VW04L3ZLB244NVZ4OCPPK4UJM7XX1,Submitted,2026-05-12T09:19:12+09:00,2026-05-12T09:30:18+09:00,2026-05-15T09:30:18+09:00,AS6LB8GAE0RPH,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A35J2QIFQRINYR,3OVHNO1VEOXFBCQXE6ZYSYHDB4TDZC,Submitted,2026-05-12T09:18:49+09:00,2026-05-12T09:33:53+09:00,2026-05-15T09:33:53+09:00,A35J2QIFQRINYR,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A1O7601ZQOQYI5,3YMU66OBI54WWB0UAAUZYCG5S6SHG0,Submitted,2026-05-12T09:19:00+09:00,2026-05-12T09:40:32+09:00,2026-05-15T09:40:32+09:00,A1O7601ZQOQYI5,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A9O1U0B4GS6UR,38YMOXR4MCVCW86DTW7DNOD3DG26WN,Submitted,2026-05-12T09:18:49+09:00,2026-05-12T09:41:12+09:00,2026-05-15T09:41:12+09:00,A9O1U0B4GS6UR,H_0001,ABCDEF,ABFCDE,BCDAEF,CABEFD,AECDBF,BFACDE,ABCEFD,BDCAEF,FBACDE,BFCADE,BCFADE,ABFCDE,BCFDAE,BCEDAF,DABFEC,BACFDE,BCFADE,BFACDE,BCAFDE,BFCADE,BCAFDE,BECADF,BCDFEA,BFDACE,BCFADE
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A1KSOW6MF660CU,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,Submitted,2026-05-12T09:19:12+09:00,2026-05-12T09:48:01+09:00,2026-05-15T09:48:01+09:00,A1KSOW6MF660CU,H_0001,DAEBCF,DABCEF,FABCDE,ABCDEF,BAFCDE,EBDFCA,BACEFD,FABCDE,BFCDEA,CADBEF,CABDEF,AECDFB,BAEFCD,DEFCAB,BDACEF,AFBCDE,DABCEF,FABCDE,ECDFBA,BEDAFC,CABDEF,CFABED,EFABCD,FACDEB,BCAEFD
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,APC10JTM08IQ8,3VSOLARPKT52NT6NHJZN21T85OG39P,Submitted,2026-05-12T09:28:43+09:00,2026-05-12T09:48:09+09:00,2026-05-15T09:48:09+09:00,APC10JTM08IQ8,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A3FW3VEWJLM1UF,3OSWBBLG1WTQ6HQIDOBDVD1234VDXF,Submitted,2026-05-12T09:18:50+09:00,2026-05-12T09:48:34+09:00,2026-05-15T09:48:34+09:00,A3FW3VEWJLM1UF,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A11ZSF5FRY0BHU,3E4GGUZ1TQNXJ7TVHGC7902WA4RK2O,Submitted,2026-05-12T09:19:00+09:00,2026-05-12T09:49:16+09:00,2026-05-15T09:49:16+09:00,A11ZSF5FRY0BHU,H_0001,BACDEF,CABDEF,BCADEF,BACDEF,BACDEF,BACDEF,BACDEF,ABCDEF,CABDEF,BACDEF,CABDEF,CABDEF,BACDEF,CABDEF,BACDEF,BACDEF,CABDEF,EABCDF,BACDEF,BACDEF,BACDEF,CABDEF,EABCDF,BACDEF,BACDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A2PWD3A43C75CX,354GIDR5ZT2OA7JDY0YB7SU8Z8200F,Submitted,2026-05-12T09:19:01+09:00,2026-05-12T09:50:17+09:00,2026-05-15T09:50:17+09:00,A2PWD3A43C75CX,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A352NZSNQPL73A,3OS46CRSLXVZHJ683M2H1MUP6706VD,Submitted,2026-05-12T09:18:49+09:00,2026-05-12T09:54:46+09:00,2026-05-15T09:54:46+09:00,A352NZSNQPL73A,H_0001,EADBCF,DABCEF,AEBCDF,ACDEFB,BACEFD,AFDBCE,BACEDF,FABCDE,BDACEF,CDAEBF,CABDEF,CADEBF,CDBAEF,DEBCFA,BDCEFA,FBDAEC,CEABDF,EBCADF,BACDEF,BDAEFC,CEBDFA,FCBDEA,EFABCD,CFAEBD,CEABDF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A1ARDA4ZUAS8Q4,31IBVUNM9AVV0CZJ4F5LVS72Z62VF4,Submitted,2026-05-12T09:18:49+09:00,2026-05-12T09:58:11+09:00,2026-05-15T09:58:11+09:00,A1ARDA4ZUAS8Q4,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A2X2T1K2R6K6W3,3I3WADAZ98088VXXXR6YEOMHEJSO5D,Submitted,2026-05-12T09:22:09+09:00,2026-05-12T10:12:25+09:00,2026-05-15T10:12:25+09:00,A2X2T1K2R6K6W3,H_0001,EADBCF,DFACEB,EABCDF,ABCDEF,BAFCDE,BECDAF,BACEFD,FACDBE,FBCDAE,CDBEFA,CABDEF,CBADEF,CDAEBF,DACEBF,BDAEFC,BDAFEC,CBDFEA,ECABDF,BACEFD,EDABFC,CABDEF,FCABDE,EBADCF,EFACBD,CEADFB
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,AZQDFOSHAGKET,3LO69W1SUL9YI7JK1V9XQ49C9N1GL6,Submitted,2026-05-12T09:18:49+09:00,2026-05-12T10:12:44+09:00,2026-05-15T10:12:44+09:00,AZQDFOSHAGKET,H_0001,ABCDEF,AEBCFD,EBDAFC,DBCEFA,AFEBCD,ABCEFD,BACDFE,ABCDEF,BCDAFE,CEABDF,ABCDEF,CDABEF,ABEFCD,DBCEFA,ABCDEF,FDABCE,DABCEF,ECABDF,DFABCE,DBACEF,FABDEC,CABDEF,EABCDF,FABCDE,FBACDE
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A1BSXD5EXXMYMK,3H7XDTSHKUNET1VJ59GZZFQS7U5GWZ,Submitted,2026-05-12T09:18:49+09:00,2026-05-12T10:17:31+09:00,2026-05-15T10:17:31+09:00,A1BSXD5EXXMYMK,H_0001,EACDFB,DABCFE,EABCDF,FDBCAE,EADBCF,EAFBCD,EAFBCD,EAFBCD,EABCDF,EABCDF,EABCDF,FABCDE,EADBCF,EABCDF,ECABDF,EABCDF,EABCDF,EABCDF,EABCDF,EABCDF,EABCDF,EABCDF,ABECDF,AEBCDF,EABCDF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A29G9DJXG0DBS6,3A1PQ49WVZDZSWARSR9WRPCZQH9H10,Submitted,2026-05-12T10:19:01+09:00,2026-05-12T10:34:15+09:00,2026-05-15T10:34:15+09:00,A29G9DJXG0DBS6,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A99RQN7JK7KBH,3IHR8NYAMPX8XC5YYM03YWLTOSTP4Q,Submitted,2026-05-12T10:19:21+09:00,2026-05-12T10:37:53+09:00,2026-05-15T10:37:53+09:00,A99RQN7JK7KBH,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A3UXCNFOYRYUVO,3OJSZ2ATDAS1NP5YG5PW320MOUJ575,Submitted,2026-05-12T09:52:28+09:00,2026-05-12T10:39:43+09:00,2026-05-15T10:39:43+09:00,A3UXCNFOYRYUVO,H_0001,DFEBAC,ABDCEF,ABCDFE,EABCDF,FDACEB,FBDACE,CEABDF,DABCEF,ACDBEF,DABCEF,ABDEFC,AFDECB,AEDBCF,AFBECD,AECDBF,EDABCF,AECBDF,ACBEDF,EBACDF,ABDECF,ABDECF,CFEABD,ACEBDF,FABDCE,BAFCED
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A24SNSQNVMG2MV,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,Submitted,2026-05-12T10:19:00+09:00,2026-05-12T10:40:54+09:00,2026-05-15T10:40:54+09:00,A24SNSQNVMG2MV,H_0001,DEACFB,DABCEF,AFBDEC,ABCDEF,BECDFA,AFCDEB,FCABDE,FABCDE,EACDFB,CBDEFA,CABDEF,DCEFAB,CDBEFA,CADEFB,CFABED,FEABDC,DFABEC,EABCFD,BADEFC,FACDEB,CABDEF,CABEFD,CDABFE,FACDEB,CEABFD
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A12TIDCYBL2KVO,3UNH76FOCA1IAGM5VDWIXHV5EOGYMN,Submitted,2026-05-12T10:19:00+09:00,2026-05-12T10:40:56+09:00,2026-05-15T10:40:56+09:00,A12TIDCYBL2KVO,H_0001,DACEFB,DABCEF,AFBDEC,ABCDEF,BECDFA,FACDEB,FABCDE,ACBDEF,FABCDE,EACDFB,BDEFAC,CDEFAB,CDEFAB,CFABED,FBADEC,DFABEC,EABCFD,BADEFC,FACDEB,BDEFCA,CABDEF,CABEFD,CDABFE,FACDEB,CEABFD
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A1T3ZQLAB6VTMD,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,Submitted,2026-05-12T10:19:21+09:00,2026-05-12T10:41:10+09:00,2026-05-15T10:41:10+09:00,A1T3ZQLAB6VTMD,H_0001,DEACFB,DABCEF,AFBDEC,ABCDEF,BECDFA,FACDEB,FCABDE,FABCDE,EACDFB,CBDEFA,CABDEF,DCEFAB,CDBEFA,CADEFB,CFABED,FEABDC,DFABEC,EABCFD,BADEFC,FACDEB,CABDEF,CABEFD,CDABFE,FACDEB,CEABFD
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,AFT18SQEGDCRU,3Z9WI9EOZHK1YXWD01FEW48YZN9HK3,Submitted,2026-05-12T10:19:21+09:00,2026-05-12T10:43:28+09:00,2026-05-15T10:43:28+09:00,AFT18SQEGDCRU,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,AEA1DSF8LR45H,3KGTPGBS6FHBM3Y7BUG9FNBUCVQ2U4,Submitted,2026-05-12T10:19:32+09:00,2026-05-12T10:45:35+09:00,2026-05-15T10:45:35+09:00,AEA1DSF8LR45H,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A4RU5ZF0INCGM,3XM0HYN6N2VQPE2RNSCG7IXK1HNPEW,Submitted,2026-05-12T10:19:21+09:00,2026-05-12T10:47:27+09:00,2026-05-15T10:47:27+09:00,A4RU5ZF0INCGM,H_0001,ABCDEF,ABCDEF,ABCDEF,BCDFEA,BCDAEF,BCFDAE,BCEAFD,BCDEAF,BCDEAF,BECAFD,CDEABF,BCDEAF,BEAFCD,BCDEAF,BECDAF,BCEAFD,BCDAEF,ACDEBF,BDAECF,BCAFDE,ABCFDE,BCFDAE,BCDEAF,BCADFE,ABCFDE
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A2MEEPNZL309G8,3BDCF01OGFQY4Y4KV1V3X4GGEJQYLL,Submitted,2026-05-12T10:19:00+09:00,2026-05-12T10:53:45+09:00,2026-05-15T10:53:45+09:00,A2MEEPNZL309G8,H_0001,EDBCAF,DABCEF,EFABCD,BCDEFA,FADCEB,EBDCAF,BFACDE,FABCDE,FBECDA,DABFEC,CABDEF,EAFBDC,DCABEF,DBCEFA,BCDEFA,EABCDF,CABDEF,EBCDFA,FACDEB,EBCDFA,CABDEF,FABCDE,EBCDFA,FACDEB,FABCED
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A24ACSDYJCJA4A,3G5W44VEUPENY112GVXWB4WXKNWGK3,Submitted,2026-05-12T10:19:21+09:00,2026-05-12T10:55:45+09:00,2026-05-15T10:55:45+09:00,A24ACSDYJCJA4A,H_0001,EFBDAC,EACBDF,ADBECF,EBDCAF,FBACDE,FEBCDA,FBCDAE,EBCADF,EACBDF,DCAFBE,EADBFC,DFACEB,DABECF,EABDFC,ACBEFD,AEBDFC,CEBDFA,EABDFC,FACDBE,FACDEB,FABDCE,ABFDEC,EBCDFA,FACEBD,FACBED
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A2E82CZGAYI325,3W8CV64QJKVHH1DMW4OP6VUIOTX9H1,Submitted,2026-05-12T10:24:22+09:00,2026-05-12T10:57:44+09:00,2026-05-15T10:57:44+09:00,A2E82CZGAYI325,H_0001,DFABCE,DABCEF,AFDBCE,ABCDEF,BCDEFA,FACDEB,FABCED,FABCDE,EACDFB,CBEFDA,CABDEF,DBCEFA,CDBEFA,ACDEFB,FABCED,FDABCE,DBAEFC,EFBCDA,BACEFD,FABCDE,CABDEF,CABEFD,DABCEF,FACDEB,CEABFD
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A2500R0F1TR1P0,3EFVCAY5LL5DU2P2FCLWICFMHFJJ8R,Submitted,2026-05-12T10:19:00+09:00,2026-05-12T10:57:48+09:00,2026-05-15T10:57:48+09:00,A2500R0F1TR1P0,H_0001,DFABCE,DABCEF,AFBCDE,ABCDEF,BCDEFA,FACDEB,FABCED,FABCDE,ACDFEB,CBEFDA,CABDEF,DBCEFA,CDBEFA,CADEFB,FABCED,FDABCE,DBAEFC,EFBCDA,BACEFD,FACDEB,CABDEF,ACBDFE,DABCEF,FABCDE,CEABFD
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A2EELIDU9CQJJG,3A0EX8ZRNQKMRPI84O69J1KB2PDBYC,Submitted,2026-05-12T10:19:11+09:00,2026-05-12T10:57:55+09:00,2026-05-15T10:57:55+09:00,A2EELIDU9CQJJG,H_0001,AFDBCE,DABCEF,AFBCDE,ABCDEF,BCDEAF,FACDEB,FABCED,FABCDE,ACDFEB,CBEFDA,CABDEF,DBCEFA,CDBEFA,CADEFB,FABCED,FDABCE,DBAEFC,EFBCDA,BACEFD,FACDEB,CABDEF,CABDFE,DABCEF,FABCDE,CEABDF
3H6W48L9GLKHJUQOIQ1K448O48PWPL,H_0001,A3N4UIT4MH4CT1,3CCZ6YKWRPF518TRV2NGHYRSJK695K,Submitted,2026-05-12T10:19:11+09:00,2026-05-12T10:57:59+09:00,2026-05-15T10:57:59+09:00,A3N4UIT4MH4CT1,H_0001,DFABCE,DABCEF,AFBCDE,ABCDEF,BCDEFA,FACDEB,FABCED,FABCDE,EACDFB,CBEFDA,CABDEF,DBCEFA,CDBEFA,CADEFB,FABCED,FDABCE,DBAEFC,EFBCDA,BACEFD,FACDEB,CABDEF,CABEFD,DABCEF,FACDEB,CEABFD
